Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
40,37,Female,Dress,Clothing,68,Oregon,L,Blue,Winter,3.98,No,Free Shipping,Yes,Yes,40,Debit Card,Quarterly
41,55,Female,Pants,Clothing,79,Michigan,M,Green,Spring,5.0,No,Standard,Yes,Yes,42,Venmo,Bi-Weekly
42,37,Female,T-shirt,Clothing,84,California,S,Pink,Spring,3.4,Yes,Store Pickup,Yes,Yes,43,Cash,Fortnightly
43,67,Male,Skirt,Clothing,51,California,XL,Beige,Summer,2.84,Yes,Store Pickup,No,No,20,Debit Card,Bi-Weekly
44,42,Male,Skirt,Clothing,98,Illinois,S,Red,Fall,3.09,Yes,Express,No,No,3,Venmo,Bi-Weekly
45,19,Female,Pants,Clothing,40,Illinois,L,White,Winter,4.75,No,Express,Yes,Yes,48,Bank Transfer,Weekly
46,49,Female,Boots,Footwear,37,Oregon,M,Yellow,Spring,3.53,No,Standard,No,No,35,Cash,Monthly
47,43,Female,Boots,Footwear,79,Florida,S,White,Fall,4.62,No,Free Shipping,No,No,8,Cash,Fortnightly
48,23,Female,Pants,Clothing,32,Oregon,XL,Blue,Spring,3.8,Yes,Free Shipping,Yes,Yes,12,Credit Card,Weekly
49,58,Male,Boots,Footwear,43,Arizona,XL,Beige,Fall,3.22,No,Free Shipping,No,No,50,Venmo,Every 3 Months
50,20,Female,Jeans,Clothing,49,Ohio,XL,Black,Spring,5.0,No,Free Shipping,No,No,45,Credit Card,Annually
51,50,Male,Skirt,Clothing,21,Florida,XL,Pink,Winter,4.59,No,Next Day Air,No,No,43,Bank Transfer,Bi-Weekly
52,18,Female,Shorts,Clothing,44,Oregon,S,Gray,Summer,3.69,No,Standard,No,No,32,Credit Card,Bi-Weekly
53,68,Male,Sandals,Footwear,69,Texas,XL,White,Summer,4.4,No,Standard,Yes,Yes,29,PayPal,Weekly
54,22,Female,Jacket,Clothing,33,Oregon,L,Brown,Summer,3.87,No,Standard,No,No,45,Credit Card,Every 3 Months
55,30,Male,Jeans,Clothing,25,Ohio,XL,Green,Spring,4.06,Yes,Store Pickup,No,No,21,Credit Card,Fortnightly
56,36,Male,Sneakers,Footwear,95,Illinois,L,White,Fall,4.86,No,Free Shipping,No,No,3,PayPal,Bi-Weekly
57,29,Male,Jeans,Clothing,49,California,S,Blue,Winter,2.89,No,Free Shipping,Yes,Yes,38,PayPal,Every 3 Months
58,65,Female,Shorts,Clothing,49,Colorado,L,Pink,Winter,3.58,No,Store Pickup,No,No,27,Debit Card,Fortnightly
59,42,Male,Sneakers,Footwear,57,New York,S,Pink,Spring,3.82,Yes,Store Pickup,Yes,Yes,3,Credit Card,Weekly
60,68,Female,Jacket,Clothing,77,California,XL,Yellow,Summer,4.0,Yes,Express,Yes,Yes,1,Cash,Bi-Weekly
61,52,Male,Shorts,Clothing,60,Montana,M,Black,Spring,3.05,No,Next Day Air,Yes,Yes,46,PayPal,Quarterly
62,29,Male,Sweater,Clothing,76,Florida,L,Yellow,Fall,4.35,No,Store Pickup,No,No,20,Venmo,Quarterly
63,47,Female,Sandals,Footwear,55,Ohio,L,Red,Summer,3.11,No,Standard,No,No,7,Debit Card,Bi-Weekly
64,22,Male,Jacket,Clothing,83,Colorado,M,Gray,Spring,3.05,No,Next Day Air,No,No,41,Debit Card,Monthly
65,51,Female,Skirt,Clothing,35,New York,S,Beige,Fall,3.65,No,Store Pickup,No,No,1,Credit Card,Bi-Weekly
66,39,Female,Boots,Footwear,97,Montana,S,Blue,Summer,4.94,Yes,Standard,Yes,Yes,10,Bank Transfer,Bi-Weekly
67,56,Female,Sweater,Clothing,91,Texas,XL,Blue,Winter,5.0,No,Free Shipping,No,No,45,Cash,Bi-Weekly
68,30,Female,T-shirt,Clothing,33,California,L,Beige,Fall,4.09,Yes,Free Shipping,Yes,Yes,12,Bank Transfer,Weekly
69,64,Male,Jacket,Clothing,50,Arizona,S,Beige,Winter,3.66,No,Standard,No,No,4,Bank Transfer,Bi-Weekly
70,20,Male,T-shirt,Clothing,85,Oregon,XL,Beige,Fall,3.89,No,2-Day Shipping,No,No,7,PayPal,Bi-Weekly
71,70,Female,Sneakers,Footwear,87,Georgia,S,Black,Summer,4.0,Yes,Free Shipping,No,No,10,Venmo,Weekly
72,37,Male,Sweater,Clothing,84,Alabama,M,Beige,Spring,4.68,No,Express,No,No,22,Credit Card,Bi-Weekly
73,48,Male,Sandals,Footwear,74,Montana,M,Beige,Spring,3.07,No,Store Pickup,Yes,Yes,25,Cash,Quarterly
74,22,Female,Skirt,Clothing,97,California,M,White,Spring,4.52,Yes,Free Shipping,No,No,29,Credit Card,Quarterly
75,41,Male,Pants,Clothing,59,California,XL,Brown,Spring,2.94,Yes,Express,No,No,39,Credit Card,Annually
76,57,Female,Skirt,Clothing,44,Ohio,L,Pink,Fall,3.51,No,Next Day Air,No,No,15,Debit Card,Every 3 Months
77,50,Male,Shorts,Clothing,44,Ohio,M,Beige,Spring,3.8,No,Free Shipping,Yes,Yes,19,Bank Transfer,Annually
78,25,Male,Skirt,Clothing,22,Arizona,M,White,Spring,4.05,No,Store Pickup,No,No,39,Venmo,Annually
79,41,Female,Hoodie,Clothing,88,Georgia,S,Red,Fall,3.8,No,Free Shipping,No,No,46,Venmo,Bi-Weekly
80,67,Male,Coat,Clothing,45,Michigan,M,Pink,Fall,3.91,No,Store Pickup,Yes,Yes,46,Venmo,Weekly
81,37,Male,Pants,Clothing,59,Montana,L,Gray,Summer,3.82,No,Next Day Air,Yes,Yes,18,Venmo,Bi-Weekly
82,33,Female,Jeans,Clothing,57,Georgia,XL,Pink,Fall,2.89,No,Store Pickup,No,No,42,PayPal,Bi-Weekly
83,67,Male,Boots,Footwear,57,Oregon,M,Black,Winter,4.15,No,Express,No,No,3,PayPal,Every 3 Months
84,69,Female,Blouse,Clothing,87,Illinois,XL,Beige,Summer,4.29,No,2-Day Shipping,Yes,Yes,6,Venmo,Fortnightly
85,29,Male,Sandals,Footwear,26,Michigan,XL,Pink,Summer,4.61,No,Store Pickup,Yes,Yes,22,Cash,Annually
86,30,Female,Sweater,Clothing,49,Ohio,L,Red,Spring,4.91,Yes,Store Pickup,Yes,Yes,41,PayPal,Every 3 Months
87,62,Female,Coat,Clothing,38,Georgia,S,Black,Spring,4.05,Yes,Express,Yes,Yes,46,PayPal,Monthly
88,59,Female,Sandals,Footwear,54,Alabama,S,Beige,Winter,4.65,Yes,Standard,No,No,31,Cash,Weekly
89,56,Female,Sweater,Clothing,52,California,XL,Yellow,Spring,3.81,No,Standard,No,No,21,Venmo,Annually
90,42,Female,Boots,Footwear,52,California,M,Pink,Fall,2.93,No,Standard,No,No,8,Credit Card,Monthly
91,63,Male,Shirt,Clothing,97,Colorado,XL,Beige,Fall,4.38,No,Store Pickup,No,No,1,PayPal,Fortnightly
92,49,Male,Shirt,Clothing,57,Texas,S,Yellow,Spring,4.24,No,Next Day Air,Yes,Yes,3,Credit Card,Monthly
93,41,Female,T-shirt,Clothing,29,Texas,M,Black,Spring,3.8,No,Express,No,No,29,Credit Card,Bi-Weekly
94,65,Male,Sandals,Footwear,76,Arizona,S,Green,Fall,3.76,No,Store Pickup,No,No,6,Cash,Quarterly
95,64,Female,Shirt,Clothing,47,Montana,L,Brown,Summer,4.09,Yes,Free Shipping,No,No,33,Venmo,Weekly
96,61,Male,Hoodie,Clothing,97,Michigan,S,Green,Winter,3.6,No,Store Pickup,No,No,18,Bank Transfer,Weekly
97,26,Male,Pants,Clothing,57,Oregon,M,Yellow,Winter,4.07,No,Standard,Yes,Yes,42,Credit Card,Bi-Weekly
98,57,Female,Sweater,Clothing,35,Michigan,M,Blue,Summer,3.25,Yes,Express,No,No,49,Venmo,Every 3 Months
99,67,Female,T-shirt,Clothing,40,Idaho,XL,Brown,Winter,3.31,No,Free Shipping,Yes,Yes,1,Debit Card,Annually
100,40,Male,Skirt,Clothing,25,New York,M,Brown,Spring,3.01,No,Express,No,No,22,Bank Transfer,Annually
101,67,Male,Sweater,Clothing,60,Ohio,L,Red,Spring,5.0,Yes,Next Day Air,Yes,Yes,31,Bank Transfer,Annually
102,30,Female,T-shirt,Clothing,34,Montana,S,Red,Spring,3.84,No,Standard,Yes,Yes,23,Bank Transfer,Monthly
103,49,Male,Boots,Footwear,22,California,XL,Beige,Winter,4.52,No,2-Day Shipping,No,No,8,Venmo,Weekly
104,67,Male,Sandals,Footwear,62,Florida,XL,Pink,Summer,3.14,No,Store Pickup,Yes,Yes,29,Cash,Every 3 Months
105,32,Female,Boots,Footwear,66,Texas,M,Green,Spring,3.69,No,Standard,No,No,44,Cash,Annually
106,53,Male,Pants,Clothing,33,New York,L,Gray,Summer,4.13,No,Standard,Yes,Yes,46,Debit Card,Annually
107,66,Female,Pants,Clothing,85,Ohio,XL,Blue,Fall,4.68,No,Next Day Air,No,No,19,Cash,Fortnightly
108,22,Female,Coat,Clothing,48,Michigan,L,Gray,Fall,3.44,Yes,Free Shipping,No,No,49,Venmo,Annually
109,39,Female,Boots,Footwear,23,Colorado,L,Beige,Fall,3.56,No,Standard,No,No,16,Bank Transfer,Fortnightly
110,33,Male,Shorts,Clothing,45,Colorado,S,Yellow,Winter,3.32,Yes,Free Shipping,Yes,Yes,19,Venmo,Monthly
111,58,Male,Skirt,Clothing,31,Colorado,S,Brown,Winter,3.73,No,Free Shipping,Yes,Yes,37,Bank Transfer,Fortnightly
112,27,Female,Jacket,Clothing,21,Michigan,S,Blue,Spring,3.19,Yes,Next Day Air,Yes,Yes,22,Venmo,Annually
113,41,Female,Boots,Footwear,36,Illinois,L,Beige,Fall,2.94,No,Standard,Yes,Yes,19,Cash,Quarterly
114,35,Male,Coat,Clothing,54,Illinois,S,Blue,Summer,3.96,No,Store Pickup,No,No,4,Venmo,Bi-Weekly
115,66,Male,Sneakers,Footwear,29,Texas,XL,White,Winter,4.2,No,Next Day Air,No,No,5,PayPal,Annually
116,35,Male,Hoodie,Clothing,62,Montana,XL,Green,Summer,3.12,Yes,Next Day Air,No,No,5,Bank Transfer,Weekly
117,24,Female,Sweater,Clothing,40,Ohio,M,Red,Summer,3.4,No,2-Day Shipping,No,No,25,Bank Transfer,Every 3 Months
118,21,Female,Pants,Clothing,34,Michigan,L,Green,Spring,3.74,Yes,Store Pickup,No,No,24,Debit Card,Bi-Weekly
119,43,Male,Sneakers,Footwear,54,New York,S,Gray,Spring,4.82,No,Next Day Air,No,No,1,PayPal,Monthly
120,22,Male,Coat,Clothing,79,California,XL,Blue,Summer,2.1,No,2-Day Shipping,Yes,Yes,50,Venmo,Bi-Weekly
121,33,Male,T-shirt,Clothing,63,Colorado,L,Black,Summer,4.07,No,Free Shipping,No,No,28,Cash,Weekly
122,52,Female,Jacket,Clothing,24,Montana,L,Red,Summer,4.21,No,Store Pickup,No,No,47,Debit Card,Annually
123,43,Female,Skirt,Clothing,92,Texas,S,Gray,Summer,3.37,No,Store Pickup,No,No,21,PayPal,Every 3 Months
124,35,Male,Skirt,Clothing,37,Arizona,L,White,Fall,3.59,Yes,Free Shipping,Yes,Yes,19,Venmo,Weekly
125,46,Male,Skirt,Clothing,40,Michigan,S,White,Summer,4.0,No,Express,No,No,23,Cash,Monthly
126,40,Female,Hoodie,Clothing,91,Idaho,S,Black,Winter,3.78,No,Store Pickup,No,No,14,Venmo,Weekly
127,70,Female,Jacket,Clothing,93,Montana,S,Brown,Spring,4.82,No,Express,No,No,6,Bank Transfer,Fortnightly
128,31,Male,Hoodie,Clothing,70,Michigan,L,Blue,Winter,3.86,No,Free Shipping,No,No,32,PayPal,Every 3 Months
129,32,Male,Pants,Clothing,60,Alabama,L,White,Spring,4.32,Yes,Standard,Yes,Yes,50,PayPal,Every 3 Months
130,66,Male,Hoodie,Clothing,43,Ohio,S,Red,Spring,4.07,No,Express,No,No,32,Debit Card,Bi-Weekly
131,50,Female,Blouse,Clothing,43,Virginia,L,Gray,Spring,4.22,No,Next Day Air,Yes,Yes,8,Cash,Quarterly
132,42,Male,Jacket,Clothing,57,Illinois,S,Black,Winter,3.33,No,Store Pickup,Yes,Yes,37,Credit Card,Quarterly
133,38,Female,Shorts,Clothing,63,Alabama,M,Brown,Spring,3.92,No,Express,Yes,Yes,22,Venmo,Quarterly
134,34,Female,Jacket,Clothing,76,Montana,L,Brown,Summer,3.76,No,Store Pickup,No,No,8,Cash,Monthly
135,40,Male,Coat,Clothing,78,Montana,L,Beige,Summer,3.37,No,Free Shipping,No,No,38,Credit Card,Quarterly
136,60,Male,Blouse,Clothing,53,Alabama,M,Gray,Fall,4.36,No,Standard,Yes,Yes,10,Cash,Every 3 Months
137,34,Female,Skirt,Clothing,94,Arizona,M,Red,Fall,2.59,No,Free Shipping,No,No,3,Venmo,Annually
138,31,Male,Coat,Clothing,42,Alabama,M,White,Fall,4.61,Yes,Standard,Yes,Yes,13,Venmo,Every 3 Months
139,46,Female,Coat,Clothing,62,California,S,Beige,Summer,2.47,No,Store Pickup,No,No,39,Debit Card,Bi-Weekly
140,37,Male,Pants,Clothing,59,New York,S,Pink,Winter,3.71,No,Express,No,No,30,PayPal,Weekly
141,47,Male,Dress,Clothing,66,Alabama,XL,Red,Fall,4.36,No,Next Day Air,No,No,4,PayPal,Fortnightly
142,36,Male,Jeans,Clothing,60,Georgia,M,Blue,Summer,3.09,No,Next Day Air,Yes,Yes,45,PayPal,Annually
143,70,Male,Blouse,Clothing,66,Georgia,XL,Gray,Spring,4.05,No,Free Shipping,No,No,6,Debit Card,Quarterly
144,56,Female,Coat,Clothing,39,Alabama,S,Black,Winter,3.99,No,Store Pickup,No,No,16,PayPal,Quarterly
145,30,Female,Jeans,Clothing,96,Ohio,L,White,Winter,4.0,Yes,Standard,Yes,Yes,22,Cash,Annually
146,35,Female,Jeans,Clothing,84,New York,M,Pink,Summer,3.59,No,Express,No,No,27,PayPal,Quarterly
147,40,Male,Blouse,Clothing,87,Idaho,L,Blue,Summer,3.52,Yes,Standard,Yes,Yes,21,PayPal,Fortnightly
148,63,Female,Dress,Clothing,43,Alabama,S,Black,Spring,2.86,No,Standard,No,No,29,Bank Transfer,Bi-Weekly
149,50,Female,Sneakers,Footwear,55,Colorado,M,White,Spring,3.74,Yes,Standard,Yes,Yes,1,Venmo,Annually
150,56,Female,T-shirt,Clothing,64,Oregon,XL,Yellow,Spring,4.35,No,Store Pickup,No,No,30,Debit Card,Annually
151,57,Male,Shorts,Clothing,21,Michigan,XL,Yellow,Winter,3.53,No,Express,No,No,24,Debit Card,Quarterly
152,35,Female,T-shirt,Clothing,47,Alabama,S,Brown,Winter,3.56,No,Store Pickup,Yes,Yes,13,PayPal,Weekly
153,26,Male,Jacket,Clothing,45,California,L,Pink,Fall,4.75,No,Standard,Yes,Yes,30,Bank Transfer,Monthly
154,50,Male,Skirt,Clothing,42,Georgia,S,Pink,Fall,3.7,Yes,Store Pickup,Yes,Yes,26,Credit Card,Fortnightly
155,49,Female,Shorts,Clothing,98,Illinois,L,Yellow,Fall,4.01,Yes,Next Day Air,No,No,34,Venmo,Bi-Weekly
156,34,Male,Jacket,Clothing,55,Georgia,S,Beige,Winter,4.12,No,Free Shipping,Yes,Yes,20,PayPal,Every 3 Months
157,36,Female,Coat,Clothing,25,Georgia,XL,Beige,Spring,3.7,No,2-Day Shipping,No,No,6,Credit Card,Weekly
158,44,Female,Skirt,Clothing,54,California,L,Brown,Fall,4.21,No,Standard,Yes,Yes,43,Cash,Fortnightly
159,23,Female,Sweater,Clothing,57,Alabama,S,White,Spring,4.39,Yes,Next Day Air,Yes,Yes,49,Bank Transfer,Every 3 Months
160,52,Female,Blouse,Clothing,54,Ohio,M,Beige,Spring,4.34,No,Store Pickup,No,No,9,Bank Transfer,Fortnightly
161,54,Female,Shorts,Clothing,93,Oregon,XL,Beige,Spring,4.41,No,Next Day Air,Yes,Yes,37,Venmo,Monthly
162,51,Male,Shorts,Clothing,72,Michigan,XL,Green,Fall,2.55,No,Free Shipping,No,No,37,Bank Transfer,Monthly
163,37,Female,Boots,Footwear,57,California,M,Green,Fall,3.1,No,Free Shipping,No,No,16,Debit Card,Every 3 Months
164,42,Male,Coat,Clothing,78,Ohio,S,Red,Spring,3.49,No,2-Day Shipping,No,No,4,Credit Card,Every 3 Months
165,21,Female,Sneakers,Footwear,62,Colorado,L,Green,Fall,3.32,Yes,2-Day Shipping,No,No,32,PayPal,Bi-Weekly
166,27,Female,Jeans,Clothing,23,Virginia,XL,White,Summer,3.37,Yes,2-Day Shipping,No,No,20,Credit Card,Quarterly
167,27,Female,Skirt,Clothing,24,New York,S,White,Fall,4.33,No,Express,Yes,Yes,29,Debit Card,Annually
168,41,Male,Coat,Clothing,87,Ohio,M,Green,Spring,3.86,No,Express,Yes,Yes,31,Cash,Every 3 Months
169,38,Male,Shirt,Clothing,64,Arizona,L,Blue,Spring,3.72,Yes,Next Day Air,Yes,Yes,45,Credit Card,Monthly
170,28,Male,Dress,Clothing,99,Florida,S,Black,Winter,3.66,No,Store Pickup,No,No,17,PayPal,Bi-Weekly
171,44,Male,Jeans,Clothing,44,New York,S,Brown,Winter,3.56,No,Free Shipping,Yes,Yes,41,Credit Card,Fortnightly
172,33,Female,Blouse,Clothing,97,Colorado,XL,White,Spring,3.65,No,Standard,No,No,25,Bank Transfer,Annually
173,43,Female,Jeans,Clothing,30,Oregon,XL,Yellow,Summer,,Yes,Free Shipping,No,No,45,Cash,Quarterly
174,47,Male,Sneakers,Footwear,48,Florida,L,White,Winter,2.74,No,Express,No,No,16,Credit Card,Weekly
175,66,Male,Pants,Clothing,53,Alabama,S,Red,Spring,4.56,No,Next Day Air,No,No,20,Cash,Fortnightly
176,33,Male,Boots,Footwear,33,Alabama,M,White,Winter,5.0,Yes,Standard,Yes,Yes,42,Cash,Annually
177,24,Female,Jeans,Clothing,43,Arizona,M,Pink,Winter,4.56,No,2-Day Shipping,No,No,10,Venmo,Bi-Weekly
178,33,Male,Blouse,Clothing,78,Virginia,L,Yellow,Spring,3.21,No,2-Day Shipping,No,No,48,Venmo,Weekly
179,52,Male,Sneakers,Footwear,58,Montana,S,Black,Fall,3.51,No,Express,Yes,Yes,23,PayPal,Annually
180,33,Female,T-shirt,Clothing,45,Oregon,XL,White,Summer,4.42,No,Next Day Air,Yes,Yes,33,PayPal,Fortnightly
181,57,Male,Shorts,Clothing,62,Georgia,S,Green,Fall,,No,Store Pickup,No,No,43,PayPal,Monthly
182,29,Female,Pants,Clothing,55,Florida,XL,White,Spring,3.5,No,Free Shipping,No,No,13,Cash,Bi-Weekly
183,52,Female,Boots,Footwear,58,California,M,Brown,Spring,3.74,No,Express,No,No,25,Cash,Weekly
184,66,Female,Shorts,Clothing,80,Arizona,L,Red,Summer,3.13,No,Store Pickup,No,No,50,Venmo,Every 3 Months
185,38,Female,Dress,Clothing,35,Virginia,L,Brown,Spring,3.72,Yes,Store Pickup,No,No,37,Bank Transfer,Monthly
186,67,Female,Jacket,Clothing,78,Virginia,L,Black,Winter,3.08,No,Free Shipping,No,No,36,Cash,Every 3 Months
187,60,Male,Pants,Clothing,25,New York,XL,Black,Summer,4.23,No,Standard,No,No,24,Venmo,Every 3 Months
188,53,Male,Pants,Clothing,75,Oregon,M,Black,Fall,3.29,No,Free Shipping,Yes,Yes,6,Credit Card,Weekly
189,65,Female,T-shirt,Clothing,27,Idaho,M,Red,Summer,3.83,No,Standard,No,No,15,PayPal,Quarterly
190,34,Female,T-shirt,Clothing,46,California,L,Brown,Fall,3.53,Yes,Store Pickup,No,No,34,PayPal,Annually
191,49,Male,Skirt,Clothing,90,Ohio,L,Beige,Spring,4.03,No,Next Day Air,No,No,4,Debit Card,Annually
192,58,Male,Hoodie,Clothing,46,Alabama,XL,Pink,Fall,4.29,No,Express,No,No,14,Bank Transfer,Quarterly
193,23,Female,Jeans,Clothing,65,Georgia,XL,Black,Fall,3.97,No,Free Shipping,No,No,4,Venmo,Bi-Weekly
194,41,Male,Pants,Clothing,60,New York,S,Blue,Fall,3.38,Yes,Next Day Air,No,No,28,Debit Card,Weekly
195,44,Male,Shorts,Clothing,98,Arizona,XL,Brown,Summer,3.46,Yes,Next Day Air,No,No,29,PayPal,Annually
196,37,Female,Blouse,Clothing,44,Virginia,S,Brown,Winter,5.0,Yes,Free Shipping,No,No,18,Debit Card,Quarterly
197,42,Male,Sandals,Footwear,37,Florida,L,Green,Fall,4.37,No,2-Day Shipping,No,No,20,Credit Card,Fortnightly
198,19,Male,Hoodie,Clothing,31,Florida,M,Gray,Summer,3.68,No,Store Pickup,Yes,Yes,48,Debit Card,Fortnightly
199,26,Male,Sandals,Footwear,70,Texas,XL,Gray,Summer,3.46,Yes,2-Day Shipping,No,No,41,Credit Card,Quarterly
200,45,Male,Boots,Footwear,58,Alabama,M,Yellow,Winter,2.94,No,Standard,Yes,Yes,32,PayPal,Annually
201,70,Female,Sneakers,Footwear,29,California,XL,Red,Summer,4.48,No,Next Day Air,Yes,Yes,8,Cash,Every 3 Months
202,55,Male,Shorts,Clothing,93,Virginia,XL,Black,Spring,3.37,No,Express,No,No,43,Venmo,Every 3 Months
203,20,Female,Shorts,Clothing,96,Colorado,S,Green,Spring,4.43,No,Express,No,No,46,Debit Card,Quarterly
204,37,Male,Hoodie,Clothing,73,Ohio,XL,Black,Spring,4.3,No,Next Day Air,No,No,49,Bank Transfer,Bi-Weekly
205,23,Female,Pants,Clothing,48,Ohio,L,Black,Winter,4.61,No,2-Day Shipping,No,No,13,Credit Card,Every 3 Months
206,56,Female,Dress,Clothing,60,Alabama,M,Green,Summer,4.26,No,Store Pickup,No,No,40,Bank Transfer,Bi-Weekly
207,50,Male,Hoodie,Clothing,28,Michigan,XL,Green,Spring,3.67,No,Next Day Air,No,No,46,PayPal,Fortnightly
208,18,Female,Sandals,Footwear,82,Texas,M,Pink,Fall,3.81,No,Standard,No,No,43,Bank Transfer,Monthly
209,54,Female,Hoodie,Clothing,96,Michigan,M,White,Summer,3.81,Yes,Next Day Air,Yes,Yes,9,Bank Transfer,Weekly
210,23,Female,Shorts,Clothing,56,Michigan,M,Gray,Spring,3.64,Yes,Free Shipping,Yes,Yes,40,PayPal,Monthly
211,62,Female,Dress,Clothing,33,Texas,XL,White,Summer,2.83,No,2-Day Shipping,Yes,Yes,46,Cash,Bi-Weekly
212,51,Female,Jeans,Clothing,92,Georgia,S,Yellow,Spring,2.51,Yes,Free Shipping,No,No,47,Bank Transfer,Every 3 Months
